name	id	stack
Orb of Alteration	alt	1000
Orb of Fusing	fusing	1000
Orb of Alchemy	alch	1000
Chromatic Orb	chrome	1000
Jeweller's Orb	jewellers	1000
Orb of Chance	chance	1000
Engineer's Orb	engineers	300
Cartographer's Chisel	chisel	300
Orb of Scouring	scour	300
Blessed Orb	blessed	300
Orb of Regret	regret	300
Regal Orb	regal	300
Vaal Orb	vaal	300
Silver Coin	silver	300
Orb of Binding	orb-of-binding	300
Orb of Horizons	orb-of-horizons	300
Simple Sextant	simple-sextant	300
Prime Sextant	prime-sextant	300
Awakened Sextant	awakened-sextant	300
Orb of Annulment	annul	50
Divine Orb	divine	50
Ancient Orb	ancient-orb	50
Harbinger's Orb	harbingers-orb	50
Orb of Unmaking	orb-of-unmaking	50
Veiled Chaos Orb	veiled-chaos-orb	50
Enkindling Orb	enkindling-orb	50
Instilling Orb	instilling-orb	50
Facetor's Lens	facetors	5
Prime Regrading Lens	prime-regrading-lens	5
Secondary Regrading Lens	secondary-regrading-lens	5
Tempering Orb	tempering-orb	5
Tailoring Orb	tailoring-orb	5
Elevated Sextant	elevated-sextant	5
Sacred Orb	sacred-orb	5
Infused Engineer's Orb	infused-engineers-orb	5
Tainted Chromatic Orb	tainted-chromatic-orb	100
Tainted Orb of Fusing	tainted-orb-of-fusing	100
Tainted Jeweller's Orb	tainted-jewellers-orb	100
Tainted Armourer's Scrap	tainted-armourers-scrap	100
Tainted Blacksmith's Whetstone	tainted-blacksmiths-whetstone	100
Tainted Chaos Orb	tainted-chaos-orb	10
Tainted Exalted Orb	tainted-exalted-orb	10
Tainted Mythic Orb	tainted-mythic-orb	10
Tainted Divine Teardrop	tainted-divine-teardrop	5
Tainted Blessing	tainted-blessing	5
Astragali	astragali	50
Exotic Coinage	exotic-coinage	50
Scrap Metal	scrap-metal	50
Burial Medallion	burial-medallion	50
A Master Seeks HelpZana	a-master-seeks-help-zana	10
A Master Seeks HelpAlva	a-master-seeks-help-alva	10
A Master Seeks HelpJun	a-master-seeks-help-jun	10
Fire from the Sky	fire-from-the-sky	10
Ice from Above	ice-from-above	10
Lightning Falls	lightning-falls	10
Crushing Squall	crushing-squall	20
The Undead Storm	the-undead-storm	10
Vaal Winds	vaal-winds	10
Bountiful Traps	bountiful-traps	10
Monstrous Treasure	monstrous-treasure	10
The Twins	the-twins-prophecy	10
Plague of Frogs	plague-of-frogs	20
Plague of Rats	plague-of-rats	20
Twice Enchanted	twice-enchanted	20
The Lost Maps	the-lost-maps	20
The Feral Lord I	the-feral-lord-i	20
Hidden Reinforcements	hidden-reinforcements	20
Rebirth	rebirth-prophecy	20
Deadly Twins	deadly-twins	20
Soil, Worms and Blood	soil-worms-and-blood	20
The Hungering Swarm	the-hungering-swarm	20
The Cursed Choir	the-cursed-choir	20
Dungeon Map	dungeon-map-tier-1	20
Estuary Map	estuary-map-tier-1	20
Haunted Mansion Map	haunted-mansion-map-tier-1	20
Stagnation Map	stagnation-map-tier-1	20
Forge of the Phoenix Map	forge-of-the-phoenix-map	10
Lair of the Hydra Map	lair-of-the-hydra-map	10
Maze of the Minotaur Map	maze-of-the-minotaur-map	10
Pit of the Chimera Map	pit-of-the-chimera-map	10
Tower Map	tower-map-tier-3	20
Tower Map	tower-map-tier-6	20
Tropical Island Map	tropical-island-map-tier-14	20
