index	query
ws0011	"type":"Titanium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2122828636","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0012	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2122828636","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0013	"type":"Titanium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1306304169","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0014	"type":"Titanium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1306304169","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0015	"type":"Titanium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1306304169","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0016	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1306304169","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0017	"type":"Titanium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_725617492","value":{"min":9}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0018	"type":"Titanium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3629418990","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0019	"type":"Titanium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_4116217552","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0020	"type":"Titanium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_4116217552","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0021	"type":"Titanium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_4116217552","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0022	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_4116217552","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0023	"type":"Titanium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2181411965","value":{"min":7}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0024	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2836003955","value":{"min":7}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0025	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_4287089865","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0026	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_59091266","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0027	"type":"Chromium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_728267040","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0028	"type":"Chromium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_728267040","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0029	"type":"Chromium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_728267040","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0030	"type":"Chromium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_728267040","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0031	"type":"Chromium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1825047276","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0032	"type":"Chromium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1825047276","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0033	"type":"Chromium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1825047276","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0034	"type":"Chromium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1825047276","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0035	"type":"Chromium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1857447509","value":{"min":0.5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0036	"type":"Chromium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1857447509","value":{"min":0.5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0037	"type":"Chromium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1857447509","value":{"min":0.5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0038	"type":"Chromium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1857447509","value":{"min":0.5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0039	"type":"Chromium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2874244045","value":{"min":11}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0040	"type":"Platinum Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3580714718","value":{"min":11}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0041	"type":"Platinum Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3580714718","value":{"min":11}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0042	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3580714718","value":{"min":11}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0043	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3580714718","value":{"min":11}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0044	"type":"Platinum Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2202161594","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0045	"type":"Platinum Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2202161594","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0046	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2202161594","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0047	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2202161594","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0048	"type":"Platinum Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_4008016019","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0049	"type":"Platinum Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_407036985","value":{"min":0.08}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0050	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3377019059","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0051	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2819193674","value":{"min":66}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0052	"type":"Platinum Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3448022820","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0053	"type":"Platinum Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_628272574","value":{"min":11}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0054	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3265124719","value":{"min":16}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0055	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1274902666","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0056	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_4270449170","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0057	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1042687374","value":{"min":2.6}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0058	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2456335054","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0059	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_1505882627","value":{"min":11}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0060	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_4069523014","value":{"min":16}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0061	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_619910101","value":{"min":7}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0062	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_657708069","value":{"min":16}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0063	"type":"Platinum Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2233120145","value":{"min":15}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0064	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_159726667","value":{"min":7}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0065	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2282052746","value":{"min":-10, "max":-9}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0066	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2302977956","value":{"min":0}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0067	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3394339562","value":{"min":0.08}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0068	"type":"Titanium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0069	"type":"Titanium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0070	"type":"Titanium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0071	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0072	"type":"Chromium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0073	"type":"Chromium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0074	"type":"Chromium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0075	"type":"Chromium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0076	"type":"Platinum Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0077	"type":"Platinum Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0078	"type":"Platinum Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0079	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3793155082","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0080	"type":"Platinum Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2934907255","value":{"min":15}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0081	"type":"Titanium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2390685262","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0082	"type":"Chromium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2390685262","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0083	"type":"Platinum Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2390685262","value":{"min":5}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
000001	"name":"The Formless Inferno","type":"Royal Burgonet","stats":[{"type":"and","filters":[{"id":"explicit.stat_3299347043","value":{"min":48}},{"id":"explicit.stat_1062208444","value":{"min":115}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000002	"name":"Abyssus","type":"Ezomyte Burgonet","stats":[{"type":"and","filters":[{"id":"explicit.stat_4237442815","value":{"min":120}},{"id":"explicit.stat_3853018505","value":{"max":40}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000003	"name":"Goldrim","type":"Leather Cap","stats":[{"type":"and","filters":[{"id":"explicit.stat_2901986750","value":{"min":40}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000004	"name":"Rat's Nest","type":"Ursine Pelt","stats":[{"type":"and","filters":[{"id":"explicit.stat_587431675","value":{"min":75}},{"id":"explicit.stat_3917489142","value":{"min":25}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000005	"name":"Starkonja's Head","type":"Silken Hood","stats":[{"type":"and","filters":[{"id":"explicit.stat_3299347043","value":{"min":98}},{"id":"explicit.stat_3261801346","value":{"min":68}},{"id":"explicit.stat_124859000","value":{"min":128}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000006	"name":"Saqawal's Flock","type":"Silken Hood","stats":[{"type":"and","filters":[{"id":"explicit.stat_3299347043","value":{"min":55}},{"id":"explicit.stat_2250533757","value":{"min":15}},{"id":"explicit.stat_1671376347","value":{"min":36}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000007	"name":"Alpha's Howl","type":"Sinner Tricorne","stats":[{"type":"and","filters":[{"id":"explicit.stat_4220027924","value":{"min":30}},{"id":"explicit.stat_124859000","value":{"min":100}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000008	"name":"Wreath of Phrecia","type":"Iron Circlet","stats":[{"type":"and","filters":[{"id":"explicit.stat_1263695895","value":{"min":25}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000009	"name":"Doedre's Scorn","type":"Lunaris Circlet","stats":[{"type":"and","filters":[{"id":"explicit.stat_1435748744","value":{"min":50}},{"id":"explicit.stat_328541901","value":{"min":30}},{"id":"explicit.stat_4052037485","value":{"min":120}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000010	"name":"Maw of Conquest","type":"Steel Circlet","stats":[{"type":"and","filters":[{"id":"explicit.stat_1444556985","value":{"min":20}},{"id":"explicit.stat_3299347043","value":{"min":68}},{"id":"explicit.stat_737908626","value":{"min":78}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000011	"name":"Rime Gaze","type":"Mind Cage","stats":[{"type":"and","filters":[{"id":"explicit.stat_1950806024","value":{"min":22}},{"id":"explicit.stat_4015621042","value":{"min":200}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000012	"name":"Scold's Bridle","type":"Mind Cage","stats":[{"type":"and","filters":[{"id":"explicit.stat_2974417149","value":{"min":100}},{"id":"explicit.stat_1050105434","value":{"min":50}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000013	"name":"The Bringer of Rain","type":"Nightmare Bascinet","stats":[{"type":"and","filters":[{"id":"explicit.stat_3299347043","value":{"min":218}},{"id":"explicit.stat_2451402625","value":{"min":290}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000014	"name":"Devoto's Devotion","type":"Nightmare Bascinet","stats":[{"type":"and","filters":[{"id":"explicit.stat_2923486259","value":{"min":24}},{"id":"explicit.stat_2451402625","value":{"min":190}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000015	"name":"Devoto's Devotion","type":"Nightmare Bascinet","stats":[{"type":"and","filters":[{"id":"explicit.stat_2923486259","value":{"min":25}},{"id":"explicit.stat_2451402625","value":{"min":195}},{"id":"explicit.stat_3261801346","value":{"min":65}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000017	"name":"Hale Negator","type":"Mind Cage","stats":[{"type":"and","filters":[{"id":"explicit.stat_3527617737","value":{"min":2}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000018	"name":"The Brine Crown","type":"Prophet Crown","stats":[{"type":"and","filters":[{"id":"explicit.stat_3299347043","value":{"min":98}},{"id":"explicit.stat_4220027924","value":{"min":48}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000019	"name":"Memory Vault","type":"Praetor Crown","stats":[{"type":"and","filters":[{"id":"explicit.stat_1050105434","value":{"min":195}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000020	"name":"Ahn's Contempt","type":"Praetor Crown","stats":[{"type":"and","filters":[{"id":"explicit.stat_3299347043","value":{"min":70}},{"id":"explicit.stat_3492297134","value":{"min":12}},{"id":"explicit.stat_1379411836","value":{"min":20}},{"id":"explicit.stat_3321629045","value":{"min":120}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000021	"name":"Malachai's Awakening","type":"Iron Mask","stats":[{"type":"and","filters":[{"id":"explicit.stat_897996059","value":{"min":68}},{"id":"explicit.stat_985999215","value":{"min":91}},{"id":"explicit.stat_833719670","value":{"min":83}},{"id":"explicit.stat_2974417149","value":{"min":30}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000022	"name":"The Gull","type":"Raven Mask","stats":[{"type":"and","filters":[{"id":"explicit.stat_3299347043","value":{"min":80}},{"id":"explicit.stat_4220027924","value":{"min":40}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000023	"name":"The Tempest's Binding","type":"Callous Mask","stats":[{"type":"and","filters":[{"id":"explicit.stat_3299347043","value":{"min":80}},{"id":"explicit.stat_2901986750","value":{"min":15}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000024	"name":"Farrul's Bite","type":"Harlequin Mask","stats":[{"type":"and","filters":[{"id":"explicit.stat_843854434","value":{"min":19}},{"id":"explicit.stat_3565956680","value":{"min":48}},{"id":"explicit.stat_4220027924","value":{"min":34}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000025	"name":"The Vertex","type":"Vaal Mask","stats":[{"type":"and","filters":[{"id":"explicit.stat_2923486259","value":{"min":30}},{"id":"explicit.stat_1999113824","value":{"min":278}},{"id":"explicit.stat_4052037485","value":{"min":38}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000026	"name":"Fractal Thoughts","type":"Vaal Mask","stats":[{"type":"and","filters":[{"id":"explicit.stat_2328588114","value":{"min":40}},{"id":"explicit.stat_1999113824","value":{"min":175}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000027	"name":"Crown of the Inward Eye","type":"Prophet Crown","stats":[{"type":"and","filters":[{"id":"explicit.stat_3899352861","value":{"min":20}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
000028	"name":"Eye of Malice","type":"Callous Mask","stats":[{"type":"and","filters":[{"id":"explicit.stat_4220027924","value":{"min":40}},{"id":"explicit.stat_3372524247","value":{"min":40}}]}],"filters":{"misc_filters":{"filters":{"corrupted":{"option":"false"}}},"trade_filters":{"filters":{"indexed":{"option":"1week"}}}},"status":{"option":"any"}
